Nama_Ruas,Kecamatan,Panjang,Lebar,Kondisi,15 April,15,16 April,16,17 April,17,18 April,18,19 April,19,20 April,20,21 April,21,22 April,22,23 April,23,24 April,24,25 April,25,26 April,26,27 April,27,28 April,28,29 April,29
Jl. Kyai Ahmad,genuk,"1,878 M",4 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Ki Senari,genuk,"1,901 M",3 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Ratan Cilik,genuk,"2,433 M",6 M,Sedang,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,2 Menit,lancar,2 Menit,lancar,3 Menit,lancar,2 Menit,lancar,2 Menit,lancar,8 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Wolter Monginsidi,genuk,"7,922 M",7 M,Baik,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Kudu,genuk,"2,656 M",4 M,Baik,lancar,6 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Sedayu Tugu,genuk,"3,073 M",4 M,Sedang,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Terboyo,genuk,"1,345 M",15 M,Sedang,lancar,14 Menit,lancar,12 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Sendang Indah,genuk,324 M,4 M,Baik,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Dong Biru,genuk,"1,074 M",5 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Trimulyo,genuk,621 M,4 M,Sedang,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,10 Menit,lancar,10 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Jempono,genuk,714 M,6 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,10 Menit,lancar,10 Menit,lancar,9 Menit,lancar,10 Menit,lancar,9 Menit
Jl. Widuri 3,genuk,793 M,3 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Bugen Polaman,genuk,788 M,4 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Padi Tengah,genuk,448 M,5 M,Baik,lancar,9 Menit,lancar,8 Menit,sedang,9 Menit,sedang,9 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Kapas Tengah,genuk,501 M,4 M,Baik,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit,lancar,9 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,sedang,9 Menit,lancar,9 Menit,sedang,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Kapas,genuk,603 M,5 M,Baik,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,9 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Gebanganom,genuk,"1,603 M",4 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. K.H. Zainuddin,genuk,"2,235 M",5 M,Baik,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Sedayu Sawo 1,genuk,572 M,4 M,Baik,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit
Jl. Banget Prasetya,genuk,235 M,6 M,Baik,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Sembungharjo Masjid Lama,genuk,717 M,4 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Sumur Adem,genuk,"1,033 M",3 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Widuri 1,genuk,653 M,4 M,Sedang,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Widuri 2,genuk,626 M,4 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit
Jl. Sembungharjo,genuk,276 M,3 M,Baik,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Sedayu Sawo,genuk,615 M,3 M,Sedang,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,2 Menit,lancar,2 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Kapas Utara,genuk,213 M,5 M,Baik,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit,lancar,9 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
Jl. Kudu Baru,genuk,"1,181 M",3 M,Sedang,lancar,6 Menit,lancar,5 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,9 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Padi,genuk,"1,505 M",5 M,Baik,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit
Jl. Tpu Banjardowo,genuk,366 M,4 M,Baik,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit
Jl. Saleh,genuk,351 M,4 M,Baik,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
Jl. Widuri,genuk,328 M,5 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
Jl. Sapi Watu,genuk,460 M,3 M,Baik,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,8 Menit,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Banget Prasetya 4,genuk,180 M,4 M,Baik,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Bangetayu Wetan,genuk,"4,827 M",4 M,Baik,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Widuri Krajan,genuk,362 M,4 M,Sedang,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,3 Menit
Jl. Wolter Monginsidi Lama,genuk,401 M,3 M,Baik,lancar,4 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Mangunsari,gunungpati,"2,183 M",3 M,Sedang,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit
Jl. Salakan,gunungpati,613 M,4 M,Sedang,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit
Jl. Cepoko 3,gunungpati,715 M,3 M,Baik,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,17 Meniit,lancar,18 Menit,lancar,17 Meniit,lancar,18 Menit,lancar,18 Menit,lancar,16 Menit,lancar,16 Menit,lancar,18 Menit,lancar,18 Menit
Jl. Muntal,gunungpati,"2,965 M",5 M,Baik,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit,lancar,9 Menit,lancar,10 Enit,lancar,9 Menit,lancar,10 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Siwogo,gunungpati,"1,587 M",4 M,Sedang,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,17 Menit,lancar,16 Menit,lancar,16 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Plalangan,gunungpati,"3,408 M",4 M,Sedang,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,15 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit
Jl. Kol. R. Warsito Soegiarto,gunungpati,"9,770 M",5 M,Baik,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,15 Menit,lancar,15 Menit,lancar,16 Menit,lancar,15 Menit,lancar,15 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Randusari,gunungpati,"1,757 M",4 M,Sedang,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,15 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit
Jl. Morokono,gunungpati,"1,480 M",4 M,Sedang,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit
Jl. Jedung,gunungpati,"1,258 M",3 M,Baik,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit
Jl. Jatirejo,gunungpati,"1,176 M",3 M,Sedang,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Cepoko 1,gunungpati,230 M,3 M,Baik,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,17 Menit,lancar,15 Menit,lancar,17 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit
Jl. Cerme 2,gunungpati,260 M,4 M,Baik,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,17 Menit,lancar,17 Menit,lancar,17 Menit,lancar,18 Menit,lancar,18 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Sibayan,gunungpati,501 M,3 M,Baik,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Kyai Sudak,gunungpati,525 M,3 M,Baik,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Jedung Utara,gunungpati,712 M,4 M,Baik,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,18 Menit,lancar,17 Meniit,lancar,18 Menit,lancar,17 Meniit,lancar,18 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit
Jl. Pongangan,gunungpati,"1,387 M",5 M,Sedang,lancar,20 Menit,lancar,18 Menit,lancar,20 Menit,lancar,18 Menit,lancar,18 Menit,lancar,9 Menit,lancar,9 Menit,lancar,10 Enit,lancar,9 Menit,lancar,10 Menit,lancar,18 Menit,lancar,18  Menit,lancar,20 Menit,lancar,18 Menit,lancar,20 Menit
Jl. Talun Kacang,gunungpati,"1,183 M",4 M,Sedang,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,17 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit
Jl. Pengkol,gunungpati,"1,103 M",4 M,Sedang,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,15 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,15 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit
Jl. Bendosari,gunungpati,788 M,4 M,Rusak Ringan,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,15 Menit,lancar,15 Menit,lancar,16 Menit,lancar,15 Menit,lancar,15 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit
Jl. Gribig,gunungpati,562 M,4 M,Sedang,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,15 Menit,lancar,15 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Kalialang Lama,gunungpati,680 M,3 M,Sedang,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit
Jl. Cepoko 2,gunungpati,223 M,4 M,Baik,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit
Jl. Kliwonan Selatan,gunungpati,112 M,4 M,Baik,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit
Jl. Kolonel H. R. Hadijanto,gunungpati,"4,649 M",7 M,Baik,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,16 Menit,lancar,17 Menit,lancar,15 Menit,lancar,17 Menit,lancar,15 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Mr. Koesoebiyono Tjondro Wibowo,gunungpati,"6,472 M",6 M,Baik,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,17 Menit,lancar,17 Menit,lancar,17 Menit,lancar,18 Menit,lancar,18 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit
Jl. Sumur Gunung,gunungpati,"1,085 M",6 M,Sedang,lancar,18 Menit,lancar,20 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,17 Menit,lancar,17 Menit,lancar,18 Menit,lancar,18 Menit,lancar,17 Menit,lancar,18  Menit,lancar,18  Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit
Jl. Dampyak,gunungpati,883 M,5 M,Sedang,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,18 Menit,lancar,17 Menit,lancar,18 Menit,lancar,17 Menit,lancar,18 Menit,lancar,17 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Perbalan,gunungpati,409 M,3 M,Sedang,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Sumur Jurang,gunungpati,358 M,3 M,Sedang,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit,lancar,16 Menit
Jl. Mudal,gunungpati,603 M,3 M,Sedang,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,18 Menit,lancar,17 Meniit,lancar,18 Menit,lancar,17 Meniit,lancar,18 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Pakintelan Baru,gunungpati,"1,068 M",3 M,Sedang,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,9 Menit,lancar,9 Menit,lancar,10 Enit,lancar,9 Menit,lancar,10 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit,lancar,12 Menit
Jl. Ampel Gading,gunungpati,"2,258 M",5 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,16 Menit,lancar,16 Menit,lancar,17 Menit,lancar,16 Menit,lancar,16 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Kalisegoro,gunungpati,"1,586 M",4 M,Baik,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,15 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,15 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Kyai Bancak,gunungpati,862 M,4 M,Baik,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,15 Menit,lancar,15 Menit,lancar,16 Menit,lancar,15 Menit,lancar,15 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit
Jl. Taman Siswa,gunungpati,"1,873 M",4 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,15 Menit,lancar,16 Menit,lancar,16 Menit,lancar,15 Menit,lancar,15 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Kalisegoro 1,gunungpati,501 M,3 M,Baik,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Sengkuyung,gunungpati,"1,240 M",4 M,Sedang,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,14 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit
Jl. Bangkong,gunungpati,"1,758 M",6 M,Sedang,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,5 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,19 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit
