Nama_Ruas,Kecamatan,Panjang,Lebar,Kondisi,15 April,15,16 April,16,17 April,17,18 April,18,19 April,19,20 April,20,21 April,21,22 April,22,23 April,23,24 April,24,25 April,25,26 April,26,27 April,27,28 April,28,29 April,29
Jl. Muteran,banyumanik,"1,091 M",4 M,Sedang,sedang,20 Menit,sedang,18 Menit,sedang,20 Menit,sedang,20 Menit,sedang,20 Menit,,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,lancar,16 Menit
Jl. Setuk,banyumanik,517 M,4 M,Sedang,sedang,18 Menit,lancar,18 Menit,sedang,20 Menit,sedang,20 Menit,sedang,20 Menit,sedang,18 Menit,sedang,19 Menit,sedang,17 Menit,sedang,18 Menit,sedang,19 Menit,sedang,20 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,lancar,18 Menit
Jl. Potrosari Tengah,banyumanik,617 M,3 M,Sedang,macet,12 Menit,sedang,12 Menit,macet,14 Menit,macet,14 Menit,macet,14 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,14 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit
Jl. Potrosari 3,banyumanik,261 M,7 M,Sedang,sedang,12 Menit,lancar,10 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,11 Menit,macet,11 Menit,sedang,10 Menit,lancar,7 Menit,sedang,11 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,10 Menit
Jl. Potrosari Lapangan,banyumanik,444 M,4 M,Sedang,sedang,10 Menit,lancar,9 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,sedang,9 Menit,macet,10 Menit,macet,12 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit
Jl. Nangka,banyumanik,437 M,5 M,Baik,macet,12 Menit,sedang,10 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,,12 Menit,,11 Menit,macet,13 Menit,macet,11 Menit,macet,11 Menit,macet,12 Menit,macet,12 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Grafika,banyumanik,"1,139 M",5 M,Baik,sedang,18 Menit,lancar,16 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,lancar,16 Menit
Jl. Karangrejo,banyumanik,"1,140 M",10 M,Baik,sedang,14 Menit,lancar,12 Menit,sedang,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,15 Menit,sedang,13 Menit,sedang,13 Menit,sedang,13 Menit,sedang,13 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit
Jl. Durian,banyumanik,"1,896 M",6 M,Baik,sedang,12 Menit,lancar,12 Menit,macet,12 Menit,macet,14 Menit,macet,14 Menit,macet,13 Menit,,13 Menit,macet,13 Menit,sedang,12 Menit,macet,13 Menit,macet,14 Menit,macet,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit
Jl. Gombel Lama,banyumanik,"1,271 M",12 M,Baik,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit
Jl. Gaharu,banyumanik,654 M,4 M,Baik,sedang,14 Menit,lancar,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit
Jl. Kruing,banyumanik,525 M,4 M,Rusak Ringan,sedang,14 Menit,sedang,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,14 Menit,sedang,16 Menit,sedang,14 Menit,sedang,16 Menit,sedang,16 Menit,lancar,14 Menit
Jl. Meranti,banyumanik,667 M,7 M,Baik,sedang,16 Menit,lancar,14 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,14 Menit,sedang,16 Menit,lancar,12 Menit,lancar,12 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit
Jl. Sukun,banyumanik,682 M,8 M,Baik,macet,12 Menit,lancar,10 Menit,macet,14 Menit,macet,14 Menit,macet,14 Menit,,11 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,10 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,sedang,16 Menit,lancar,16 Menit
Jl. Bumirejo,banyumanik,"1,575 M",4 M,Sedang,sedang,18 Menit,lancar,16 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,16 Menit,sedang,14 Menit,sedang,14 Menit,sedang,15 Menit,sedang,14 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,sedang,18 Menit,lancar,18 Menit
